,SUSHI/USDT,BTS/USDT,INJ/USDT,RDNT/USDT,ZRX/USDT,HIGH/USDT,WAVES/USDT,SPELL/USDT,XTZ/USDT,BNB/USDT,DAR/USDT,HNT/USDT,JOE/USDT,ETC/USDT,XMR/USDT,ALICE/USDT,HOOK/USDT,REEF/USDT,BAT/USDT,DOGE/USDT,TRX/USDT,STORJ/USDT,SNX/USDT,XLM/USDT,IOTX/USDT,DASH/USDT,UMA/USDT,KAVA/USDT,RUNE/USDT,APE/USDT,BLUEBIRD/USDT,BNX/USDT,OP/USDT,KEY/USDT,DGB/USDT,SKL/USDT,FOOTBALL/USDT,TOMO/USDT,MTL/USDT,LTC/USDT,KSM/USDT,TRB/USDT,MANA/USDT,FLOW/USDT,CHR/USDT,GAL/USDT,USDC/USDT,OGN/USDT,RNDR/USDT,SC/USDT,STMX/USDT,KNC/USDT,SRM/USDT,BLUR/USDT,ENJ/USDT,ATOM/USDT,ENS/USDT,ATA/USDT,AGIX/USDT,IOST/USDT,HBAR/USDT,ZEC/USDT,IDEX/USDT,GALA/USDT,EDU/USDT,GTC/USDT,ALGO/USDT,LRC/USDT,STG/USDT,STX/USDT,ARPA/USDT,CELO/USDT,QNT/USDT,1INCH/USDT,T/USDT,LINA/USDT,AR/USDT,FIL/USDT,SOL/USDT,BLZ/USDT,COMBO/USDT,GMT/USDT,XVS/USDT,GMX/USDT,BAND/USDT,LDO/USDT,XRP/USDT,FTT/USDT,CRV/USDT,BEL/USDT,DOT/USDT,ONE/USDT,APT/USDT,ANKR/USDT,RAY/USDT,API3/USDT,CVC/USDT,ASTR/USDT,HOT/USDT,QTUM/USDT,IOTA/USDT,ADA/USDT,LIT/USDT,YFI/USDT,ETH/USDT,ALPHA/USDT,WOO/USDT,SFP/USDT,RLC/USDT,BTCST/USDT,1000XEC/USDT,FXS/USDT,CFX/USDT,AUDIO/USDT,ID/USDT,HFT/USDT,NEO/USDT,UNFI/USDT,SAND/USDT,CTK/USDT,LINK/USDT,MINA/USDT,CELR/USDT,RSR/USDT,REN/USDT,LPT/USDT,JASMY/USDT,PHB/USDT,EGLD/USDT,LUNA2/USDT,ONT/USDT,VET/USDT,IMX/USDT,LQTY/USDT,COTI/USDT,CVX/USDT,ARB/USDT,BAKE/USDT,GRT/USDT,FLM/USDT,MASK/USDT,EOS/USDT,BAL/USDT,COCOS/USDT,SUI/USDT,DENT/USDT,TRU/USDT,CKB/USDT,SSV/USDT,C98/USDT,ZEN/USDT,NEAR/USDT,BCH/USDT,1000SHIB/USDT,ANT/USDT,TLM/USDT,AAVE/USDT,ICP/USDT,1000LUNC/USDT,RAD/USDT,AVAX/USDT,MAGIC/USDT,ROSE/USDT,MATIC/USDT,MKR/USDT,PEOPLE/USDT,THETA/USDT,UNI/USDT,PERP/USDT,RVN/USDT,NKN/USDT,KLAY/USDT,DEFI/USDT,COMP/USDT,BTCDOM/USDT,BTC/USDT,OMG/USDT,ICX/USDT,1000PEPE/USDT,FET/USDT,LEVER/USDT,1000FLOKI/USDT,FTM/USDT,AMB/USDT,SXP/USDT,XEM/USDT,ZIL/USDT,AXS/USDT,DYDX/USDT,OCEAN/USDT,CHZ/USDT,DUSK/USDT,CTSI/USDT,ACH/USDT
ETH/USDT,0.746516725,0.414022744,0.677407493,0.760955659,0.748473519,0.678598052,0.685019587,0.803547012,0.790308652,0.791786145,0.693274744,0.531234659,0.645838285,0.820158098,0.750959817,0.768667751,0.715544257,0.642055878,0.76020359,0.684728445,0.637257849,0.693866251,0.687058461,0.778687283,0.725240004,0.749873675,0.778937628,0.671203519,0.87239514,0.724317105,0.866218532,0.549451082,0.737254275,0.347288121,0.76882989,0.675097195,0.582890134,0.629966715,0.647223986,0.764389175,0.756032738,0.493789944,0.71016387,0.746628549,0.753512053,0.68509003,0.268582792,0.705371599,0.600438792,0.279180559,0.743621965,0.733473665,0.430740625,0.775191912,0.778361127,0.740526081,0.742116495,0.652647172,0.604234394,0.742106063,0.711341003,0.806538973,0.618894466,0.60578671,0.495932626,0.656150458,0.75676291,0.761440661,0.540414733,0.58142428,0.536571789,0.677600976,0.698672067,0.706624585,0.659784424,0.590487463,0.679411855,0.616808748,0.743419021,0.636646216,0.920300567,0.72575138,0.749738908,0.757642617,0.616022771,0.704919979,0.70109572,0.51505412,0.796117555,0.617177699,0.82727293,0.740619588,0.665917605,0.637415565,0.630763175,0.631690167,0.688310756,0.808108807,0.724275801,0.773114781,0.778026387,0.78987441,0.421099915,0.741385911,1,0.672208563,0.653664762,0.55982129,0.494989017,,0.725376372,0.686814271,0.70298007,0.660788747,0.636534471,0.776898562,0.710711813,0.541377595,0.773610778,0.477597331,0.786680242,0.724932402,0.693593763,0.619270171,0.623898108,0.713176135,0.622419365,0.654592604,0.673002278,0.588682688,0.724175023,0.802201092,0.664167522,0.702056824,0.696468329,0.763625451,0.727489543,0.726534784,0.68148777,0.583308794,0.530235781,0.712871647,0.875644049,0.474188598,0.636944215,0.700585335,0.639966603,0.645267106,0.68740193,0.683609951,0.775016303,0.813826943,0.802173275,0.654180866,0.591295189,0.722782064,0.836162512,0.757816698,0.423170086,0.460939541,0.811631156,0.712908323,0.674269759,0.79693707,0.737657517,0.599202737,0.727054468,0.78331257,0.766362336,0.697169461,0.49673771,0.615519708,0.865694434,0.743457661,-0.591282817,0.882975066,0.672512086,0.703780044,0.647393821,0.589324251,0.638181642,0.779345691,0.713037672,0.496729755,0.581556826,0.623590605,0.738963577,0.707252783,0.630600312,0.630728207,0.611882737,0.542668429,0.640074102,0.659692719
BTS/USDT,0.320013823,1,-0.065967226,,0.270501316,,0.294273939,,0.325829494,0.385768244,0.239281777,0.204761348,,0.313363133,0.368235955,0.291837279,,0.268983607,0.356369987,0.257387114,0.243054166,0.34464329,0.30198914,0.311997558,0.337127983,0.277731021,,0.276079111,0.422635163,0.334088327,,,0.30251171,,0.314998416,0.249288348,,0.19693044,0.183814388,0.305304239,0.306736993,0.247562799,0.266459452,0.32213939,0.336963188,0.239163988,,0.283225442,,0.399464824,0.281447349,0.294577461,0.138900051,,0.334433895,0.366973602,0.250146933,0.273228313,,0.283509435,0.286195747,0.33246876,,0.237727113,,0.253882949,0.290579217,0.253957028,,,0.224994701,0.259353913,,0.34205612,,0.242286603,0.284245771,0.156084391,0.241051227,0.251944364,,0.307857325,,,0.240309044,,0.247842201,0.119516388,0.33403183,0.242550645,0.393746482,0.27836708,,0.175295886,0.311533943,0.249202178,0.337742143,,0.297849929,0.317432498,0.318047279,0.306460687,0.047329262,0.364217076,0.414022744,0.337764292,0.245739893,0.27556972,0.284641859,,0.288598339,,,0.25884465,,,0.265191183,0.246802292,0.31023697,0.104312836,0.330577292,,0.318985262,0.30409144,0.293597171,0.313729587,0.182650937,,0.44116346,,0.275634078,0.315509918,0.252316172,,0.299510832,,,0.296810366,0.264437864,0.201893916,0.172975903,0.247229234,0.383852038,,,0.28186492,,,,0.241990683,0.345844551,0.367923828,0.336756601,0.250693244,0.36444844,,0.465916398,,,,0.395853239,,0.23827413,0.386897801,0.356138621,0.205702748,0.337033702,0.433317624,,0.243634756,0.255399848,0.207236198,0.382603748,0.387922339,-0.272914876,0.354464272,0.252897818,0.254418667,,,,,0.303977383,,0.221521254,0.24791298,0.291154686,0.294670584,0.272893767,0.259003499,0.208635867,0.166738931,0.26695158,
COMBO/USDT,0.849218322,,0.868481313,0.881872367,0.868823444,0.82400179,0.891601446,0.878055621,0.853348083,0.770561783,0.85737518,,0.895367356,0.881777673,0.825788569,0.90382601,0.878852171,0.85966689,0.878651135,0.925000969,0.553979843,0.608665653,0.822276066,0.896379342,0.71949447,0.846442683,0.820719527,0.692530164,0.912452715,0.851452078,0.873671387,0.848509039,0.807497572,0.779544883,0.888633337,0.91891117,0.72968022,0.833070611,0.168162708,0.888389307,0.822609498,0.905115578,0.766204879,0.84354875,0.883670732,0.905047779,0.743570029,0.87855117,0.752375374,,0.901128839,0.898472024,,0.843831804,0.862022592,0.786984785,0.871827864,0.923626132,0.907410078,0.89760816,0.857244779,0.867901116,0.878565558,0.890551363,0.923776427,0.89308543,0.802551372,0.888690703,0.908921243,0.801065655,0.928844677,0.858893603,0.806207095,0.901312581,0.824564424,0.863378478,0.866967552,0.902936389,0.721352608,0.917972461,1,0.829018668,0.86790867,0.915290928,0.793239898,0.783623142,0.934329068,,0.88956492,0.898137607,0.83039128,0.870175829,0.835317926,0.87873351,,0.872630192,,0.903166441,0.8449988,0.835839126,0.78220524,0.684600531,0.857264843,0.893995182,0.920300567,0.460786049,0.744458014,0.838935238,0.896771274,,0.886922636,0.874780202,0.952112988,0.8443876,0.861337072,0.923572536,0.832454046,0.870488763,0.809468359,0.845349967,0.88119966,0.820235224,0.778632375,0.914209215,0.706793815,0.883586936,0.872388836,0.899452705,0.773480319,0.800300582,0.831916197,0.780739227,0.839777718,0.868238995,0.811430052,0.889601606,0.935185174,0.866769665,0.902020405,0.858604571,0.941260905,0.8687914,0.960260146,,0.839287785,0.863645288,0.866521572,0.893294153,0.946554494,0.856512513,0.921918284,0.806411892,0.907909969,0.853960948,0.895566678,0.861034862,0.875877044,0.877206001,0.596926891,0.487949501,0.85522824,0.941835987,0.79152003,0.680792507,0.747195949,0.883751939,0.871666533,0.823964452,0.918744963,0.885233808,0.906548201,0.850830862,0.865274098,0.903199549,-0.42795886,0.811342697,0.880627238,0.868815519,0.870930893,0.859729378,0.955328438,0.885743959,0.878840891,0.796804679,0.77357654,0.801735515,0.852120048,0.823701677,0.868002237,0.86036511,0.794943921,0.877327152,0.886479054,0.961702376
BTC/USDT,0.688542961,0.354464272,0.649800452,0.686045201,0.754183,0.635869904,0.689534881,0.757410564,0.77099413,0.797399495,0.708270273,0.50335474,0.642533676,0.717036948,0.774080361,0.770891079,0.633294415,0.651107783,0.767085812,0.659891866,0.66848679,0.693600535,0.66934431,0.772086696,0.728507434,0.723488194,0.645958172,0.674521815,0.849885029,0.697072185,0.830221806,0.517132911,0.677173401,0.232719885,0.768025028,0.670807969,0.553461021,0.654968049,0.654075648,0.743736159,0.736505159,0.490843806,0.710166912,0.753263352,0.731899423,0.691826182,0.389691582,0.698992159,0.637546628,0.321834909,0.744740335,0.709276602,0.422630338,0.76269422,0.775210931,0.729160933,0.65999911,0.656153261,0.583877076,0.751898045,0.74252784,0.779914011,0.592244439,0.608434496,0.578103176,0.629579974,0.747978584,0.748925215,0.508801313,0.635591474,0.531618967,0.690974059,0.715644204,0.688372201,0.64174309,0.59685854,0.662469895,0.626472229,0.72762328,0.671085244,0.811342697,0.734794462,0.645009736,0.683071254,0.612175674,0.663306762,0.680808097,0.481628961,0.735117281,0.636241224,0.78691022,0.756701473,0.651932369,0.663226473,0.57445603,0.645746537,0.641733154,0.785224381,0.724090623,0.780951475,0.76820717,0.767880968,0.422249359,0.715012854,0.882975066,0.67326806,0.629005594,0.550862236,0.518899487,,0.718212248,0.592637118,0.785225722,0.672369071,0.484715443,0.700596096,0.723607103,0.521556942,0.764781391,0.452427124,0.755891135,0.690227978,0.692973522,0.610930147,0.639484936,0.701072284,0.635366303,0.644706466,0.657550463,0.528971491,0.72460319,0.814311953,0.672294642,0.643098154,0.700918014,0.719451016,0.591854151,0.724804156,0.677617105,0.593321364,0.515860031,0.68521517,0.791208467,0.474618808,0.707080017,0.712784102,0.577574464,0.657603692,0.589068821,0.695483063,0.77172301,0.783832165,0.801477411,0.639978512,0.564586123,0.667058164,0.795728343,0.749229377,0.346749421,0.366592626,0.781013296,0.653236202,0.694598582,0.741635053,0.683146744,0.552653912,0.70823976,0.742631982,0.729531499,0.702867647,0.5325188,0.611020465,0.843190729,0.724930301,-0.189218745,1,0.699119965,0.701297885,0.578253915,0.530954297,0.625004363,0.702206527,0.715777218,0.417356395,0.602531614,0.63120299,0.749546441,0.686998396,0.607891452,0.629600354,0.600785964,0.528948867,0.666438311,0.686695286
BAL/USDT,0.714754145,0.383852038,0.621129645,0.708067601,0.713887312,0.708614576,0.666722181,0.763403051,0.756558,0.745804535,0.652772091,0.486895338,0.696140279,0.732872673,0.723072226,0.745536865,0.719222898,0.624409218,0.748673621,0.614699787,0.639719064,0.661536473,0.676842182,0.740539564,0.679355696,0.720086526,0.827016375,0.644003448,0.814156939,0.664013881,0.803696911,0.527235018,0.686404846,0.515122599,0.728721754,0.653495846,0.539874727,0.605193674,0.611347533,0.725333432,0.715214707,0.475721907,0.688149191,0.713543073,0.738829132,0.665364065,0.152022743,0.665291013,0.615602734,0.255756304,0.705750609,0.678228232,0.371658371,0.788044834,0.757984837,0.713959698,0.721436767,0.639877746,0.575796142,0.722597463,0.679211052,0.765202728,0.742063585,0.59277424,0.488460204,0.637265593,0.708089242,0.733146776,0.508194116,0.626112924,0.532216483,0.658064728,0.657692737,0.694154924,0.642934126,0.559102464,0.672312316,0.602238857,0.680823441,0.628213968,0.960260146,0.658613887,0.756478266,0.692164835,0.571978365,0.657216029,0.65312417,0.449699149,0.743908879,0.601655829,0.779408296,0.738321037,0.640052576,0.592250244,0.56486861,0.635537561,0.619466257,0.774823045,0.692411535,0.730378429,0.755129628,0.732379044,0.434106216,0.716475625,0.875644049,0.651941461,0.641668093,0.569894252,0.477742858,,0.70479538,0.694606534,0.676220869,0.649980915,0.538306091,0.749433714,0.673672653,0.524748773,0.734847862,0.487306471,0.747893526,0.721165086,0.674780808,0.626877719,0.616085763,0.704967188,0.598367732,0.6987421,0.680369367,0.593699929,0.697557398,0.761393099,0.632304191,0.617225049,0.687324271,0.691934119,0.58723435,0.704391475,0.665260382,0.590665208,0.502929563,0.675410694,1,0.503590454,0.768062187,0.664296778,0.591352872,0.68798061,0.64723928,0.663041233,0.744987895,0.765387824,0.73886772,0.615914878,0.580302451,0.781381874,0.816265806,0.704890056,0.448951678,0.467798164,0.762828319,0.694588246,0.629375675,0.741636728,0.681691521,0.576013321,0.706837411,0.751094871,0.765371355,0.627784491,0.510322322,0.560162455,0.839595889,0.718484571,-0.536371351,0.791208467,0.634392652,0.667104794,0.572009662,0.603724429,0.747412732,0.801598985,0.694455961,0.540242875,0.550242067,0.619034627,0.72317485,0.698133286,0.595849396,0.617397991,0.595939587,0.576601007,0.616296068,0.637119543
RUNE/USDT,0.766240483,0.422635163,0.705006591,0.767957862,0.782772712,0.816250583,0.728417932,0.860959176,0.789601174,0.785121058,0.756411013,0.561227293,0.720402482,0.763820475,0.730521219,0.844288406,0.760799916,0.690881571,0.799741859,0.654446782,0.611375665,0.740192635,0.723521768,0.782008134,0.802118982,0.777660938,0.905570739,0.686364838,1,0.764477159,0.848636303,0.656654052,0.722919115,0.464765564,0.808409784,0.725331537,0.64213013,0.643904474,0.649592117,0.755774564,0.769554516,0.518355096,0.767909863,0.753122522,0.808279481,0.738493098,0.227198288,0.754746471,0.706654804,0.285270345,0.751166416,0.73326155,0.405961498,0.856811277,0.833814325,0.79301844,0.789165556,0.715776922,0.669198885,0.775179663,0.738982113,0.796692751,0.756931616,0.67397534,0.627576334,0.645347712,0.787365212,0.798390039,0.577688485,0.63940265,0.582546757,0.72090351,0.732483002,0.721515366,0.729164118,0.636134955,0.707994574,0.627822268,0.748973584,0.712601451,0.912452715,0.770509158,0.856713653,0.725854224,0.641350949,0.715414186,0.684439999,0.46907031,0.805284977,0.668745403,0.827284167,0.793540302,0.69636518,0.651272951,0.612444912,0.692503711,0.661941533,0.848267339,0.75983891,0.78309255,0.806857354,0.801737875,0.452963444,0.72822387,0.87239514,0.706673155,0.69956924,0.631623662,0.545608885,,0.722020453,0.691576602,0.762268694,0.698453974,0.636782335,0.843465802,0.712503872,0.546380061,0.841484652,0.540093669,0.805441474,0.804480288,0.717722947,0.654763485,0.681046792,0.734093892,0.651647204,0.787441374,0.724659904,0.631632986,0.738341671,0.841412304,0.718177119,0.769963496,0.735191004,0.756317884,0.621362938,0.767159205,0.727485998,0.601501128,0.498298705,0.693152304,0.814156939,0.540197605,0.859083239,0.731258358,0.683828083,0.726950003,0.666284803,0.73828796,0.804083902,0.831310698,0.778912741,0.669662278,0.603904537,0.876779299,0.856115875,0.786591403,0.456034755,0.517106643,0.851527538,0.784956084,0.722671659,0.795089116,0.74761541,0.619175378,0.767641502,0.823342794,0.868026955,0.685634818,0.546140793,0.598029283,0.905833069,0.797264925,-0.468226351,0.849885029,0.693232416,0.730693458,0.635279184,0.677053371,0.787240674,0.891518678,0.757527453,0.591533521,0.635056428,0.644636507,0.78985709,0.752060776,0.650421347,0.661106491,0.633085854,0.589523727,0.688121086,0.758864301
BLUEBIRD/USDT,0.820575822,,0.723673216,0.737277565,0.784084614,0.734347357,0.761696391,0.802248379,0.800346876,0.916048333,0.75445928,0.546982449,0.678139862,0.846982419,0.748254226,0.845907452,0.740301443,0.814724116,0.830507063,0.889117114,0.675317462,0.763251112,0.707274642,0.818718549,0.764527794,0.75655924,0.859750475,0.652255489,0.848636303,0.782119349,1,0.635827823,0.735115436,0.484568909,0.803159419,0.709720094,0.673481627,0.694669925,0.641699306,0.766800955,0.76798011,0.72413979,0.768329287,0.833721812,0.796604157,0.797424491,0.269730278,0.820523494,0.655888783,,0.807144694,0.835869647,0.365077229,0.8156153,0.798019727,0.83794615,0.846061834,0.786802135,0.630167977,0.787405414,0.711842183,0.790957386,0.741495475,0.693666941,0.631779339,0.701246845,0.818897255,0.768464972,0.563682901,0.586443063,0.582962867,0.737988022,0.718662099,0.712725013,0.703606216,0.569136032,0.776094148,0.718594038,0.782710269,0.767439017,0.873671387,0.751934391,0.859861545,0.663411073,0.644759781,0.661798539,0.692040107,0.510161187,0.780843756,0.645682959,0.819031855,0.825704737,0.660919461,0.726196723,0.491786161,0.754427182,0.544192176,0.828593306,0.803302643,0.783627624,0.821788542,0.833378986,0.716046921,0.742574924,0.866218532,0.631116273,0.733343086,0.520235773,0.570308788,,0.783522471,0.599684153,0.680015746,0.667208686,0.679764737,0.850372673,0.68893641,0.776484514,0.813775223,0.64619058,0.805187073,0.75915904,0.729257559,0.790408864,0.633321841,0.762334663,0.672208857,0.73236036,0.740177854,0.76368222,0.738911904,0.801699687,0.734748386,0.703476756,0.759947652,0.716144835,0.596209321,0.811169882,0.709762983,0.819189542,0.733203517,0.76751431,0.803696911,0.385884698,0.876072396,0.775191775,0.677893986,0.684152976,0.684310585,0.723376804,0.800594798,0.830369956,0.828930717,0.83055203,0.607165952,0.865719376,0.816932862,0.764789132,0.60333146,0.388762224,0.805271084,0.678180818,0.751609025,0.786984864,0.63677304,0.747358007,0.816332887,0.809441875,0.803277075,0.848839763,0.563268153,0.713758656,0.878230429,0.770978616,-0.520945754,0.830221806,0.675821904,0.718764234,0.598414517,0.614630943,0.751659189,0.88622375,0.755395299,0.570461652,0.600750826,0.621214296,0.804812549,0.749343242,0.644569409,0.629958541,0.798480919,0.728134108,0.699215152,0.733027026
DEFI/USDT,0.843098848,0.382603748,0.74605391,0.76691077,0.861896996,0.817784312,0.794970645,0.894836185,0.857642411,0.815619341,0.81224328,0.596601722,0.73495786,0.799303446,0.735608264,0.893322181,0.764096361,0.764844755,0.887162263,0.709582466,0.667607457,0.786227652,0.785001797,0.833254207,0.840740167,0.844213061,0.937845594,0.760967238,0.905833069,0.796076523,0.878230429,0.686333482,0.764409097,0.512803066,0.86029854,0.791946018,0.66281327,0.712902098,0.706336645,0.804009855,0.849471153,0.647638959,0.829481689,0.833219633,0.867579312,0.797624625,0.19913182,0.837735789,0.685906503,0.249501648,0.809446765,0.809631496,0.440275145,0.831030668,0.881466763,0.816754425,0.795836693,0.80544531,0.705932053,0.854589026,0.803294204,0.844003074,0.741624552,0.733852897,0.623900064,0.738096746,0.882420241,0.860868352,0.599944168,0.661136277,0.648479344,0.809795521,0.723807364,0.813942365,0.778449239,0.691918106,0.796234473,0.745149159,0.802790918,0.775666497,0.865274098,0.801185863,0.923757691,0.725883972,0.736040298,0.742676574,0.733463604,0.518655557,0.846339268,0.743536256,0.882649027,0.858006723,0.720959536,0.725080386,0.624556082,0.772617141,0.672761634,0.861631739,0.828471554,0.867117654,0.890019377,0.871566552,0.55848549,0.809775121,0.865694434,0.786381467,0.758850513,0.676430716,0.59617833,,0.814913046,0.711171447,0.770880823,0.774476333,0.692040233,0.889034506,0.796167076,0.673781989,0.872349088,0.604050038,0.888954252,0.794193274,0.79654186,0.798456152,0.767576252,0.816436687,0.715442216,0.802511772,0.784258823,0.653220933,0.840026678,0.90721112,0.774797933,0.765099925,0.824606987,0.78270258,0.623260269,0.861528446,0.781094258,0.708453385,0.591655998,0.780031785,0.839595889,0.51491704,0.867356186,0.825484356,0.731762361,0.769962208,0.722093401,0.816772295,0.876834776,0.864212339,0.829983168,0.724847314,0.685310217,0.936178051,0.905721101,0.841858319,0.468299439,0.523384084,0.883701452,0.784291938,0.787628666,0.846798718,0.78572028,0.700838917,0.856333628,0.861313358,0.898071096,0.749546793,0.615093248,0.656047344,1,0.85271648,-0.524302697,0.843190729,0.783194135,0.804883301,0.609767418,0.691220835,0.83931218,0.921498003,0.829876166,0.628924957,0.732220795,0.716251523,0.85271474,0.80564299,0.705810425,0.749241182,0.733479385,0.672494459,0.766006824,0.807130229
AAVE/USDT,0.802405005,0.465916398,0.681113729,0.707742153,0.769431633,0.755005032,0.737674638,0.810798159,0.791036966,0.749045513,0.698539609,0.548320022,0.672750022,0.737615817,0.710009787,0.784647857,0.731215693,0.6933943,0.792949544,0.647284146,0.610404146,0.723226221,0.737254392,0.748564659,0.76502463,0.758902714,0.888284003,0.685530999,0.856115875,0.721286356,0.816932862,0.642935237,0.676118936,0.445337755,0.785094837,0.706504908,0.595006955,0.623465835,0.644090254,0.728383228,0.784699358,0.529083736,0.742251866,0.758564267,0.790202063,0.690038539,0.188112517,0.711875481,0.670510648,0.252739206,0.765170543,0.712375577,0.429384375,0.807049005,0.785211533,0.750257772,0.726813138,0.698564136,0.663225082,0.780179106,0.749505149,0.762436234,0.702903341,0.646281355,0.599084487,0.658881856,0.771467917,0.764282456,0.565960508,0.628259148,0.560579995,0.707054074,0.709755653,0.744282887,0.734066214,0.600442098,0.728779064,0.656739109,0.722094638,0.650216963,0.875877044,0.719427354,0.864380898,0.736889857,0.640523187,0.677535396,0.670025231,0.472976509,0.817679623,0.624236286,0.819840337,0.790290626,0.716361596,0.643318915,0.621441496,0.679889629,0.651770034,0.849450427,0.753479765,0.765089416,0.804126116,0.773866661,0.415891378,0.723047882,0.836162512,0.68002915,0.669919144,0.589262657,0.541505841,,0.72071859,0.651760528,0.756340262,0.68671581,0.629522696,0.856138748,0.707159876,0.537913939,0.786227756,0.515377193,0.79657629,0.750107202,0.71464378,0.682626862,0.687403448,0.740284889,0.611196022,0.770930662,0.742783182,0.630136059,0.765431193,0.813850314,0.684129357,0.768218401,0.733001777,0.738032021,0.630200945,0.747405588,0.683920373,0.606672983,0.510244143,0.709405254,0.816265806,0.513656961,0.80519498,0.720994565,0.653633091,0.725750307,0.721477944,0.709861849,0.79554718,0.813855466,0.761988752,0.681556005,0.593690458,0.873242722,1,0.751547681,0.463416289,0.435920096,0.816212563,0.733811769,0.693559414,0.79163084,0.728376817,0.584720857,0.754768064,0.836310234,0.882994342,0.640017032,0.547016079,0.60316203,0.905721101,0.813399762,-0.499414678,0.795728343,0.684595578,0.702144206,0.635513761,0.613878852,0.75478955,0.90668992,0.7528393,0.547861747,0.610919893,0.635141874,0.77284055,0.717042264,0.654811874,0.661103292,0.615189613,0.566796349,0.679416617,0.782502703
DOT/USDT,0.748789826,0.393746482,0.68213712,0.733331743,0.777428745,0.71769077,0.739419174,0.830858924,0.802747473,0.760228285,0.718228507,0.556496141,0.706873988,0.748288533,0.661624124,0.827693396,0.713004741,0.719479845,0.814643641,0.651963278,0.617508785,0.692231924,0.684741197,0.789066383,0.77103552,0.758849188,0.923256685,0.676183171,0.827284167,0.738048429,0.819031855,0.63806878,0.69162931,0.477753201,0.790816934,0.718643977,0.571287098,0.64598989,0.648317782,0.755801125,0.834566199,0.531186694,0.778732047,0.789841435,0.788051493,0.736743619,0.180689823,0.765186353,0.630153263,0.272715191,0.728825913,0.723220135,0.345038922,0.823236849,0.798488877,0.756638788,0.761095796,0.719383043,0.636223934,0.780740359,0.758150957,0.812575535,0.724183032,0.684526189,0.627093266,0.655724004,0.803677311,0.767675828,0.50987165,0.654732866,0.592159918,0.718946103,0.654844324,0.747160925,0.727347649,0.597928166,0.756389176,0.755516076,0.742691577,0.692430306,0.83039128,0.754393355,0.836780611,0.703248325,0.63077149,0.699094764,0.67609019,0.392554771,0.72595987,0.641144874,1,0.825711364,0.617520128,0.649260133,0.517518911,0.710392435,0.558068719,0.871765436,0.775340515,0.789766307,0.820983878,0.845778766,0.524549448,0.718828101,0.82727293,0.714887297,0.724138645,0.605292887,0.540390916,,0.745766214,0.650079125,0.730284282,0.696429902,0.642244715,0.846015131,0.727458075,0.602153957,0.803635317,0.518797568,0.84453236,0.721018079,0.728546622,0.707653321,0.685523019,0.718892045,0.681333592,0.717963636,0.716279976,0.622861705,0.755236981,0.86092852,0.714838693,0.713947152,0.744395977,0.708165843,0.624601319,0.752852451,0.738505739,0.573452756,0.525546663,0.734120418,0.779408296,0.500303201,0.819667519,0.766928167,0.699519999,0.722611988,0.715710107,0.726092094,0.819185596,0.849276372,0.765833392,0.642883851,0.689813044,0.868391121,0.819840337,0.843752574,0.47680344,0.512225141,0.83329018,0.709566475,0.723737844,0.761804293,0.704086702,0.663879447,0.808236607,0.774954632,0.868389823,0.669838329,0.535268913,0.608685296,0.882649027,0.7701079,-0.529776491,0.78691022,0.694684793,0.7155975,0.620212764,0.636351614,0.758653169,0.920035711,0.782365483,0.573855969,0.634296829,0.657446204,0.780556,0.743276215,0.675613022,0.659875776,0.635342627,0.594256397,0.672220834,0.782487602
